gmina id,gmina name,latitude,longitude,avg income,% PiS Votes,registered voters,ballots counted,powiat,wojewodztwo
610042,Milej¢w,51.21892684,22.9604405,449,39.58100559,7287,3580,??czy?ski,lubelskie
1609103,Pr¢szk¢w,50.57869288,17.86927109,740,15.56270096,7285,3110,opolski,opolskie
3013043,Rydzyna,51.7828304,16.67481985,756,26.70824295,7285,3688,leszczy?ski,wielkopolskie
609042,Garb¢w,51.36035803,22.33973144,423,49.94739611,7276,3802,lubelski,lubelskie
2816023,Orzysz,53.80646582,21.93949172,453,23.63527295,7260,3334,piski,warmi?sko-mazurskie
419033,Janowiec Wielkopolski,52.76766833,17.52440577,498,18.65747831,7243,3918,?ni?ski,kujawsko-pomorskie
617052,Trawniki,51.14564254,22.98986483,416,46.17794486,7243,3192,?widnicki,lubelskie
3209033,Bobolice,53.97824681,16.55343969,573,26.5497076,7242,3420,koszali?ski,zachodniopomorskie
3023083,Zag¢r¢w,52.14242222,17.91453187,457,33.19046343,7235,3733,s?upecki,wielkopolskie
2014052,Zambr¢w,52.9989961,22.18485505,482,46.93986163,7228,3758,zambrowski,podlaskie
3028053,Skoki,52.66176178,17.17965655,584,25.17577069,7227,3698,w?growiecki,wielkopolskie
1206032,Iwanowice,50.22241394,19.96785127,768,52.94117647,7223,3893,krakowski,ma?opolskie
1805053,Ko?aczyce,49.79910972,21.46967481,361,69.48051948,7220,3388,jasielski,podkarpackie
3013033,Osieczna,51.90925223,16.72303927,594,31.79566563,7205,3230,leszczy?ski,wielkopolskie
2416011,Por?ba,50.48459294,19.33384999,816,22.08312469,7198,3994,zawiercia?ski,?l?skie
2416073,Pilica,50.48341801,19.68886604,613,36.26562117,7194,4081,zawiercia?ski,?l?skie
1601052,Lubsza,50.93164242,17.56011751,745,47.82078635,7189,3281,brzeski,opolskie
2203043,Debrzno,53.55842545,17.21343089,376,26.39876352,7179,3235,cz?uchowski,pomorskie
606052,Krasnystaw,50.99419063,23.16738859,438,45.57307459,7177,3298,krasnostawski,lubelskie
225043,Pie?sk,51.2550386,15.08842731,551,25.64516129,7173,3100,zgorzelecki,dolno?l?skie
1210032,Gr¢dek nad Dunajcem,49.75056538,20.72852067,421,57.14285714,7163,3486,nowos?decki,ma?opolskie
2204062,Pszcz¢?ki,54.17749642,18.66598137,712,30.12965051,7160,3548,gda?ski,pomorskie
2203023,Czarne,53.64583704,17.02195556,517,38.99705015,7152,3390,cz?uchowski,pomorskie
